electricity_load,temperature,hour,day,month,day_of_the_week,holiday
13720.8,0.83,1,2,1,4,0
13258.475,0.79,2,2,1,4,0
13010.575,0.88,3,2,1,4,0
13006.9,1.06,4,2,1,4,0
13241.45,1.21,5,2,1,4,0
13985.825,1.3,6,2,1,4,0
15719.825,1.49,7,2,1,4,0
16899.625,2.11,8,2,1,4,0
17782.8,2.9,9,2,1,4,0
18763.35,3.4,10,2,1,4,0
19358.025,3.83,11,2,1,4,0
19743.775,4.1,12,2,1,4,0
20030.825,4.17,13,2,1,4,0
20491.95,4.2,14,2,1,4,0
20393.95,4.24,15,2,1,4,0
20516.4,4.2,16,2,1,4,0
21503.975,4.0,17,2,1,4,0
21448.8,3.9,18,2,1,4,0
21109.575,3.81,19,2,1,4,0
20924.3,3.71,20,2,1,4,0
20286.175,3.6,21,2,1,4,0
19113.525,3.44,22,2,1,4,0
17908.1,3.28,23,2,1,4,0
16641.7,3.15,0,3,1,5,0
15491.375,3.03,1,3,1,5,0
14866.75,2.93,2,3,1,5,0
14559.7,2.88,3,3,1,5,0
14399.3,2.8,4,3,1,5,0
14584.075,2.77,5,3,1,5,0
14754.5,2.8,6,3,1,5,0
15689.425,2.84,7,3,1,5,0
16285.25,2.87,8,3,1,5,0
17005.975,2.97,9,3,1,5,0
18138.15,3.07,10,3,1,5,0
18846.65,3.13,11,3,1,5,0
19193.75,3.2,12,3,1,5,0
19228.25,3.04,13,3,1,5,0
19455.45,2.83,14,3,1,5,0
19216.575,2.55,15,3,1,5,0
19568.15,2.26,16,3,1,5,0
20674.05,2.07,17,3,1,5,0
20548.275,1.9,18,3,1,5,0
20469.95,1.8,19,3,1,5,0
20157.95,1.71,20,3,1,5,0
19535.675,1.62,21,3,1,5,0
18337.525,1.53,22,3,1,5,0
17324.4,1.45,23,3,1,5,0
16106.925,1.36,0,4,1,6,0
15072.2,1.23,1,4,1,6,0
14350.25,1.1,2,4,1,6,0
13946.2,1.08,3,4,1,6,0
13792.85,0.99,4,4,1,6,0
13817.225,0.98,5,4,1,6,0
13964.8,0.9,6,4,1,6,0
14381.15,0.97,7,4,1,6,0
14469.725,1.12,8,4,1,6,0
15067.3,1.43,9,4,1,6,0
16019.325,1.58,10,4,1,6,0
16764.95,1.65,11,4,1,6,0
17174.65,1.6,12,4,1,6,0
17300.2,1.5,13,4,1,6,0
17593.1,1.33,14,4,1,6,0
17347.425,1.13,15,4,1,6,0
17553.35,0.69,16,4,1,6,0
19026.25,0.44,17,4,1,6,0
19287.325,0.2,18,4,1,6,0
19294.875,0.12,19,4,1,6,0
19320.15,0.05,20,4,1,6,0
18646.8,-0.05,21,4,1,6,0
